================================================================================================================================================================
STRATEGY C OPTIMIZATION v6 — 20 CITIES + METAR CALIBRATION
================================================================================================================================================================

--- Phase 1: Baseline ---
  [  1] baseline_20cities                                                 | comp=   70.7769 | trades=3590 | sharpe=  11.99 | win= 69.2% | pnl= 177.4% | dd= 0.75% | 1s
  [115] mfp=0.7 maxp=0.46 s=1.1                                           | comp=   52.8074 | trades= 840 | sharpe=  18.34 | win= 82.1% | pnl=  28.8% | dd= 0.34% | 57s
  [116] mfp=0.7 maxp=0.46 s=1.15                                          | comp=   56.8512 | trades= 779 | sharpe=  20.51 | win= 84.7% | pnl=  28.4% | dd= 0.34% | 57s
  [117] mfp=0.7 maxp=0.46 s=1.2                                           | comp=   60.5825 | trades= 695 | sharpe=  23.14 | win= 87.5% | pnl=  26.9% | dd= 0.34% | 58s
  [118] mfp=0.7 maxp=0.5 s=1.05                                           | comp=   52.9552 | trades= 943 | sharpe=  17.36 | win= 81.0% | pnl=  31.0% | dd= 0.34% | 58s
  [119] mfp=0.7 maxp=0.5 s=1.1                                            | comp=   53.3825 | trades= 884 | sharpe=  18.08 | win= 82.2% | pnl=  29.8% | dd= 0.34% | 59s
  [120] mfp=0.7 maxp=0.5 s=1.15                                           | comp=   57.3662 | trades= 820 | sharpe=  20.17 | win= 84.8% | pnl=  29.3% | dd= 0.33% | 59s
  [121] mfp=0.7 maxp=0.5 s=1.2                                            | comp=   60.4532 | trades= 734 | sharpe=  22.46 | win= 87.3% | pnl=  27.8% | dd= 0.33% | 60s
  [122] mfp=0.7 maxp=0.55 s=1.05                                          | comp=   53.1003 | trades= 960 | sharpe=  17.26 | win= 81.2% | pnl=  31.3% | dd= 0.34% | 60s
  [123] mfp=0.7 maxp=0.55 s=1.1                                           | comp=   53.5090 | trades= 900 | sharpe=  17.96 | win= 82.3% | pnl=  30.1% | dd= 0.34% | 61s
  [124] mfp=0.7 maxp=0.55 s=1.15                                          | comp=   57.3662 | trades= 835 | sharpe=  19.98 | win= 84.8% | pnl=  29.6% | dd= 0.33% | 61s
  [125] mfp=0.7 maxp=0.55 s=1.2                                           | comp=   60.2626 | trades= 749 | sharpe=  22.17 | win= 87.3% | pnl=  28.1% | dd= 0.33% | 61s

--- Phase 4: Fine-tuning ---
  Best Phase 3: sharp=0.95 = 76.9466
  [126] fine mfp=0.62 mp=0.41 s=0.92 me=0.06                              | comp=   65.5445 | trades=2610 | sharpe=  13.02 | win= 71.9% | pnl= 109.6% | dd= 0.74% | 62s
  [127] fine mfp=0.62 mp=0.41 s=0.92 me=0.08                              | comp=   65.5445 | trades=2610 | sharpe=  13.02 | win= 71.9% | pnl= 109.6% | dd= 0.74% | 62s
  [128] fine mfp=0.62 mp=0.41 s=0.92 me=0.1                               | comp=   65.5445 | trades=2610 | sharpe=  13.02 | win= 71.9% | pnl= 109.6% | dd= 0.74% | 63s
  [129] fine mfp=0.62 mp=0.41 s=0.95 me=0.06                              | comp=   65.3983 | trades=2291 | sharpe=  13.89 | win= 73.9% | pnl=  98.1% | dd= 0.83% | 63s
  [130] fine mfp=0.62 mp=0.41 s=0.95 me=0.08                              | comp=   65.3983 | trades=2291 | sharpe=  13.89 | win= 73.9% | pnl=  98.1% | dd= 0.83% | 64s
  [131] fine mfp=0.62 mp=0.41 s=0.95 me=0.1                               | comp=   65.3983 | trades=2291 | sharpe=  13.89 | win= 73.9% | pnl=  98.1% | dd= 0.83% | 64s
  [132] fine mfp=0.62 mp=0.41 s=0.98 me=0.06                              | comp=   62.4220 | trades=2072 | sharpe=  13.91 | win= 73.8% | pnl=  85.3% | dd= 0.71% | 65s
  [133] fine mfp=0.62 mp=0.41 s=0.98 me=0.08                              | comp=   62.4220 | trades=2072 | sharpe=  13.91 | win= 73.8% | pnl=  85.3% | dd= 0.71% | 65s
  [134] fine mfp=0.62 mp=0.41 s=0.98 me=0.1                               | comp=   62.4220 | trades=2072 | sharpe=  13.91 | win= 73.8% | pnl=  85.3% | dd= 0.71% | 66s
  [135] fine mfp=0.62 mp=0.43 s=0.92 me=0.06                              | comp=   68.1610 | trades=2810 | sharpe=  13.03 | win= 72.5% | pnl= 118.2% | dd= 0.67% | 66s
  [136] fine mfp=0.62 mp=0.43 s=0.92 me=0.08                              | comp=   68.1610 | trades=2810 | sharpe=  13.03 | win= 72.5% | pnl= 118.2% | dd= 0.67% | 67s
  [137] fine mfp=0.62 mp=0.43 s=0.92 me=0.1                               | comp=   68.1610 | trades=2810 | sharpe=  13.03 | win= 72.5% | pnl= 118.2% | dd= 0.67% | 67s
  [138] fine mfp=0.62 mp=0.43 s=0.95 me=0.06                              | comp=   68.0075 | trades=2481 | sharpe=  13.87 | win= 74.4% | pnl= 105.8% | dd= 0.79% | 68s
  [139] fine mfp=0.62 mp=0.43 s=0.95 me=0.08                              | comp=   68.0075 | trades=2481 | sharpe=  13.87 | win= 74.4% | pnl= 105.8% | dd= 0.79% | 68s
  [140] fine mfp=0.62 mp=0.43 s=0.95 me=0.1                               | comp=   68.0075 | trades=2481 | sharpe=  13.87 | win= 74.4% | pnl= 105.8% | dd= 0.79% | 69s
  [141] fine mfp=0.62 mp=0.43 s=0.98 me=0.06                              | comp=   64.8548 | trades=2238 | sharpe=  13.91 | win= 74.4% | pnl=  91.6% | dd= 0.71% | 69s
  [142] fine mfp=0.62 mp=0.43 s=0.98 me=0.08                              | comp=   64.8548 | trades=2238 | sharpe=  13.91 | win= 74.4% | pnl=  91.6% | dd= 0.71% | 70s
  [143] fine mfp=0.62 mp=0.43 s=0.98 me=0.1                               | comp=   64.8548 | trades=2238 | sharpe=  13.91 | win= 74.4% | pnl=  91.6% | dd= 0.71% | 70s
  [144] fine mfp=0.62 mp=0.45 s=0.92 me=0.06                              | comp=   69.9611 | trades=2926 | sharpe=  13.11 | win= 73.1% | pnl= 123.5% | dd= 0.67% | 71s
  [145] fine mfp=0.62 mp=0.45 s=0.92 me=0.08                              | comp=   69.9611 | trades=2926 | sharpe=  13.11 | win= 73.1% | pnl= 123.5% | dd= 0.67% | 71s
  [146] fine mfp=0.62 mp=0.45 s=0.92 me=0.1                               | comp=   69.9611 | trades=2926 | sharpe=  13.11 | win= 73.1% | pnl= 123.5% | dd= 0.67% | 72s
  [147] fine mfp=0.62 mp=0.45 s=0.95 me=0.06                              | comp=   69.6960 | trades=2586 | sharpe=  13.93 | win= 74.9% | pnl= 110.3% | dd= 0.79% | 72s
  [148] fine mfp=0.62 mp=0.45 s=0.95 me=0.08                              | comp=   69.6960 | trades=2586 | sharpe=  13.93 | win= 74.9% | pnl= 110.3% | dd= 0.79% | 73s
  [149] fine mfp=0.62 mp=0.45 s=0.95 me=0.1                               | comp=   69.6960 | trades=2586 | sharpe=  13.93 | win= 74.9% | pnl= 110.3% | dd= 0.79% | 73s
  [150] fine mfp=0.62 mp=0.45 s=0.98 me=0.06                              | comp=   66.5828 | trades=2335 | sharpe=  13.98 | win= 74.9% | pnl=  95.6% | dd= 0.71% | 74s
